Timestamp	Gender	Year of Study	On a scale of 1-5 with 5 being the best, how would you describe your relationship/bonding with your roommates?	On a scale of 1-5 with 5 being the best, how would you describe your relationship/bonding with your hallmates?	On a scale of 1-5 with 5 being the best, how would you describe your relationship/bonding with students of your department?	On a scale of 1-5 with 5 being the best, how would you describe your relationship/bonding with your members of societies you are involved in?	Does being involved in any outdoor activity for a while with your friends (playing some game, going for a walk together) improve the rest of your day?	Do your friends make an effort to cheer you up if you are feeling upset/depressed?	Do you make an effort to cheer up your friends if they are feeling upset/depressed?	Who is your go-to person to open up about your feelings if you are dealing with emotional/mental stress?	On a scale of 5 rate your relationship with the hall working staff ( mess workers, others)
11-09-2019 18:02	Male	1st year	5	4	3	4	1	1	1	Parents or Family members	4
11-09-2019 18:02	Male	1st year	3	4	3	4	1	1	1	Friends	3
11-09-2019 18:02	Male	5+ year	1	1	1	1	0	0	0	Friends	1
11-09-2019 18:03	Male	2nd Year	4	4	3	3	1	1	1	Friends	2
11-09-2019 18:03	Male	2nd Year	3	3	4	4	1	1	1	Parents or Family members	3
11-09-2019 18:04	Male	2nd Year	4	4	4	5	1	0.5	1	Friends	4
11-09-2019 18:06	Male	2nd Year	3	3	3	4	1	0.5	1	Parents or Family members	3
11-09-2019 18:06	Female	1st year	3	3	4	4	1	1	1	Parents or Family members	4
11-09-2019 18:07	Male	2nd Year	5	2	2	3	1	1	1	Friends	1
11-09-2019 18:08	Male	2nd Year	4	3	3	3	1	0	0.5	Parents or Family members	4
11-09-2019 18:08	Male	2nd Year	4	4	3	4	1	1	1	Friends	3
11-09-2019 18:09	Male	2nd Year	2	3	3	2	1	1	1	Friends	3
11-09-2019 18:09	Female	2nd Year	5	3	1	3	1	0.5	0.5	Friends	3
11-09-2019 18:11	Male	3rd Year	5	2	4	4	1	0.5	1	Friends	2
11-09-2019 18:12	Male	2nd Year	3	4	3	4	1	1	1	Friends	4
11-09-2019 18:12	Male	2nd Year	4	4	4	3	1	0.5	1	Friends	3
11-09-2019 18:19	Male	2nd Year	4	4	3	5	1	0.5	1	Parents or Family members	3
11-09-2019 18:23	Female	2nd Year	4	1	1	1	0	1	1	Parents or Family members	5
11-09-2019 18:25	Male	2nd Year	4	4	4	3	1	1	1	Parents or Family members	3
11-09-2019 18:30	Male	2nd Year	5	5	3	3	0	1	1	Friends	2
11-09-2019 18:40	Male	2nd Year	4	3	2	4	1	1	1	Parents or Family members	2
11-09-2019 18:43	Male	2nd Year	5	3	2	4	1	0	1	Parents or Family members	1
11-09-2019 18:54	Male	2nd Year	4	1	4	5	1	0	0	Friends	4
11-09-2019 18:56	Male	1st year	5	4	5	4	1	0.5	1	Friends	3
11-09-2019 19:11	Male	2nd Year	1	3	3	1	1	1	1	Friends	1
11-09-2019 19:24	Male	2nd Year	3	3	2	1	0	0	0	0 one	1
11-09-2019 20:33	Female	2nd Year	5	3	5	1	1	0.5	1	Parents or Family members	4
11-09-2019 21:38	Female	2nd Year	5	5	5	5	1	1	1	Parents or Family members	2
11-10-2019 2:13	Male	1st year	2	2	2	2	1	1	1	0 one	2
11-10-2019 2:25	Male	2nd Year	4	4	3	3	1	1	1	Friends	4
11-10-2019 3:36	Male	1st year	3	4	2	4	1	0.5	0.5	Friends	3
11-10-2019 7:45	Male	1st year	2	4	3	2	0	0.5	1	A friend of mine from hometown	4
11-10-2019 14:46	Male	2nd Year	4	1	3	2	1	0.5	0.5	Friends	4
11-10-2019 15:02	Male	5th Year	3	2	2	3	1	1	1	Parents or Family members	3
11-10-2019 15:07	Male	1st year	3	1	3	1	1	1	1	Parents or Family members	3
11-10-2019 15:07	Male	3rd Year	3	4	5	5	1	1	1	Parents or Family members	3
